,Less than 180 days,,Between 180 and 270 days (10% acruals),,Between 270 and 360 days (50% acruals),,More than 360 days (100% acruals),,Total,,previous month total,
,Acruals,Stock value,Acruals,Stock value,Acruals,Stock value,Acruals,Stock value,Acruals,Stock value,Acruals,Stock value
A,0,"462,971",282,"2,823",0,0,0,0,282,"465,794","1,625","666,165"
B,0,"488,057","2,018","20,178","1,504","3,007","40,485","40,485","44,007","551,728","42,834","679,738"
C,0,"184,753","2,851","28,507","11,229","22,458",237,237,"14,316","235,955","16,211","243,545"
D,0,"119,093","2,013","20,129","12,272","24,543","33,939","33,939","48,223","197,704","45,429","227,273"
Total,0,"1,254,874","7,164","71,638","25,004","50,008","74,661","74,661","106,829","1,451,181","106,100","1,816,721"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Less than 180 days,,Between 180 and 270 days (10% acruals),,Between 270 and 360 days (50% acruals),,More than 360 days (100% acruals),,Total,,previous month total,
,Acruals,Stock value,Acruals,Stock value,Acruals,Stock value,Acruals,Stock value,Acruals,Stock value,Acruals,Stock value
ACC,0,699,28,284,0,0,"25,311","25,311","25,340","26,295","26,844","29,157"
atsarginiai lipdukai,0,0,0,0,0,0,"3,533","3,533","3,533","3,533","2,912","3,533"
Eco4,0,584,0,0,"5,280","10,559","14,172","14,172","19,451","25,315","20,789","27,439"
FLS,0,950,149,"1,486","3,393","6,787","70,996","70,996","74,538","80,219","94,186","105,713"
PBA,0,0,0,0,0,0,"24,476","24,476","24,476","24,476","26,105","26,105"
plug5,0,0,0,0,0,0,0,0,0,0,"3,681","4,800"
x,0,48,0,0,0,0,"7,333","7,333","7,333","7,380","17,115","17,163"
Total,0,"2,281",177,"1,770","8,673","17,346","145,821","145,821","154,671","167,218","191,631","213,909"
