Date,Latest Order Date,Supplier,Code,Name,Price Per 1 pcs,Need,Confirmed,Total Order,"Ordered, not Confirmed",Total not Confirmed,Balance,States
7/31/2024,4/10/2024,Quectel Wireless Solutions Co,B00075,BG95M3LAR-64-SGNS (F/W: BG95M3LAR02A03_01.014.01.014),6.8,15875,0,4400,na,20000,-67239,A
9/30/2024,6/10/2024,Quectel Wireless Solutions Co,B00075,BG95M3LAR-64-SGNS (F/W: BG95M3LAR02A03_01.014.01.014),6.8,14200,0,4400,na,20000,-96664,A
6/30/2024,3/10/2024,Quectel Wireless Solutions Co,B00075,BG95M3LAR-64-SGNS (F/W: BG95M3LAR02A03_01.014.01.014),6.8,20687,200,4400,na,20000,-51364,A
5/31/2024,2/9/2024,Quectel Wireless Solutions Co,B00075,BG95M3LAR-64-SGNS (F/W: BG95M3LAR02A03_01.014.01.014),6.8,16701,0,4400,na,20000,-30877,A
11/30/2024,8/10/2024,Quectel Wireless Solutions Co,B00075,BG95M3LAR-64-SGNS (F/W: BG95M3LAR02A03_01.014.01.014),6.8,11478,0,4400,na,20000,-120529,A
4/30/2024,1/9/2024,Quectel Wireless Solutions Co,B00075,BG95M3LAR-64-SGNS (F/W: BG95M3LAR02A03_01.014.01.014),6.8,32362,4200,4400,20000,20000,-14176,A
1/31/2025,10/11/2024,Quectel Wireless Solutions Co,B00075,BG95M3LAR-64-SGNS (F/W: BG95M3LAR02A03_01.014.01.014),6.8,11320,0,4400,na,20000,-143169,A
12/31/2024,9/10/2024,Quectel Wireless Solutions Co,B00075,BG95M3LAR-64-SGNS (F/W: BG95M3LAR02A03_01.014.01.014),6.8,11320,0,4400,na,20000,-131849,A
8/31/2024,5/11/2024,Quectel Wireless Solutions Co,B00075,BG95M3LAR-64-SGNS (F/W: BG95M3LAR02A03_01.014.01.014),6.8,15225,0,4400,na,20000,-82464,A
3/31/2025,12/9/2024,Quectel Wireless Solutions Co,B00075,BG95M3LAR-64-SGNS (F/W: BG95M3LAR02A03_01.014.01.014),6.8,2829,0,4400,na,20000,-157318,A
2/28/2025,11/8/2024,Quectel Wireless Solutions Co,B00075,BG95M3LAR-64-SGNS (F/W: BG95M3LAR02A03_01.014.01.014),6.8,11320,0,4400,na,20000,-154489,A
10/31/2024,7/11/2024,Quectel Wireless Solutions Co,B00075,BG95M3LAR-64-SGNS (F/W: BG95M3LAR02A03_01.014.01.014),6.8,12387,0,4400,na,20000,-109051,A
