product code,Product,Quantity,Unit Cost,Status,Open,Source Location,Dest. Location,Posting Date,Date Done,User,Advance Invoice No,Invoice No,Reference,Partner,Address,SK,C_ADM,Bank,Cost center,Dep,Gruop,M,Projects,Salis,Skyrius,Tax,Years,Pajamos/Sąnaudos,UOM,Packing List,Production Lot,IMEI,IMSI,ICCID,MSISDN,Date,Confirmed Delivery Date,Name,Amount,Rem. Quantity,Rem. Amount
,[391] EasyCAN (LCV),500,6.81932,done,,Final Production Warehouse (Kaunas),Customers,4/30/2024,4/30/2024 12:30,,494902,RUP-55360,SO069078,[SP] Fleet Complete Eesti OÜ,"Piret Papper, Lõõtsa 1A 11415 Talinn",,,,,,,,,,,,,,PCS,PACK106666,,,,,,4/30/2024 12:30,,EasyCAN LCV (J1939),3409.66,,
,[K00108] HCV harness EasyCAN for Fleet Complete,500,1.76476,done,,Kauno filialas,Customers,4/30/2024,4/30/2024 12:30,,494902,RUP-55360,SO069078,[SP] Fleet Complete Eesti OÜ,"Piret Papper, Lõõtsa 1A 11415 Talinn",,,,,,,,,,,,,,PCS,PACK106666,,,,,,4/30/2024 12:30,,HCV harness EasyCAN for Fleet Complete,882.38,,
,[HCV5-LTM-FTE] HCV5 4G FTE,500,40.89678,done,,Final Production Warehouse (Kaunas),Customers,4/30/2024,4/30/2024 12:22,,495129,RUP-55355,SO069108,[SP] Fleet Complete Eesti OÜ,"Piret Papper, Lõõtsa 1A 11415 Talinn",,,,,,,,,,,,,,PCS,PACK106822,,,,,,4/30/2024 12:22,,HCV5 4G FTE,20448.39,,
,[Plug5-LTM-EMEA-BT] Plug5-LTM-EMEA-BT,1,,done,TRUE,Final Production Warehouse (Kaunas),Customers,4/30/2024,4/30/2024 4:55,,495848,RUP-55343,SO069184,[SP] Droids Agency A/S,"Andreas Bisgaard, Njalsgade 76, 3. Sal 2300",,,,,,,,,,,,,,PCS,PACK107667,,,,,,4/30/2024 4:55,,Plug5-LTM-EMEA-BT,,-1,
,[Eco5-5W-LTE-LA-IP54] Eco5-5W-LTE-LA-IP54,2,22.515,done,,Final Production Warehouse (Kaunas),Customers,4/30/2024,4/30/2024 5:48,,496231,RUP-55344,SO069256,[SP] Exalto Group,"Nelson Ribeiro, Avesweg 32 | Willemstad 0000 CW Willemstad",,,,,,,,,,,,,,PCS,PACK107684,,,,,,4/30/2024 5:48,,Eco5-5W-LTE-LA-IP54,45.03,,
,[HCV5-LTM-GL-BT] HCV5 4G Global BLE,100,42.7825,done,,Final Production Warehouse (Kaunas),Customers,4/30/2024,4/30/2024 8:20,,496245,RUP-55348,SO069263,[SP] SIMNAVI,"Szymon Bienkowski, Piątkowska 163 60-650 Poznan",,,,,,,,,,,,,,PCS,PACK107655,,,,,,4/30/2024 8:20,,HCV5 4G Global BLE,4278.25,,
,[HCV5-Lite-LTE-EMEA] HCV5-Lite-EMEA,25,31.4196,done,,Final Production Warehouse (Kaunas),Customers,4/30/2024,4/30/2024 10:57,,496498,RUP-55345,SO069208,[SP] UAB Linqo,Perkūnkiemio g. 6-1 12130 Vilnius,,,,,,,,,,,,,,PCS,PACK107416,,,,,,4/30/2024 10:57,,HCV5-Lite-EMEA,785.49,,
,[TRACE5-LTE-EMEA] TRACE5-LTE-EMEA,180,22.10311,done,,Final Production Warehouse (Kaunas),Customers,4/30/2024,4/30/2024 10:57,,496498,RUP-55345,SO069208,[SP] UAB Linqo,Perkūnkiemio g. 6-1 12130 Vilnius,,,,,,,,,,,,,,PCS,PACK107416,,,,,,4/30/2024 10:57,,TRACE5-LTE-EMEA,3978.56,,
,[TRACE5-LTE-IP67-EMEA] TRACE5-LTE-IP67-EMEA,40,26.03825,done,,Final Production Warehouse (Kaunas),Customers,4/30/2024,4/30/2024 10:57,,496498,RUP-55345,SO069208,[SP] UAB Linqo,Perkūnkiemio g. 6-1 12130 Vilnius,,,,,,,,,,,,,,PCS,PACK107416,,,,,,4/30/2024 10:57,,TRACE5-LTE-IP67-EMEA,1041.53,,
,[K00129] Side 1: Pitch 3.0mm 2x6 pins housing + tin plating terminals Side 2: End Cut,50,0.6272,done,,Kauno filialas,Customers,4/30/2024,4/30/2024 10:57,,496498,RUP-55345,SO069208,[SP] UAB Linqo,Perkūnkiemio g. 6-1 12130 Vilnius,,,,,,,,,,,,,,PCS,PACK107416,,,,,,4/30/2024 10:57,,Cable for Trace5 IP 30 devices,31.36,,
,[K00081] TCO5 14pin harness,50,0.8258,done,,Kauno filialas,Customers,4/30/2024,4/30/2024 10:57,,496498,RUP-55345,SO069208,[SP] UAB Linqo,Perkūnkiemio g. 6-1 12130 Vilnius,,,,,,,,,,,,,,PCS,PACK107416,,,,,,4/30/2024 10:57,,TCO5 14pin harness,41.29,,
,[K00082] TCO5 16pin harness,50,0.9812,done,,Kauno filialas,Customers,4/30/2024,4/30/2024 10:57,,496498,RUP-55345,SO069208,[SP] UAB Linqo,Perkūnkiemio g. 6-1 12130 Vilnius,,,,,,,,,,,,,,PCS,PACK107416,,,,,,4/30/2024 10:57,,TCO5 16pin harness,49.06,,
,[Relay12V] Relay  / Relė 12V,100,0.77,done,,Final Production Warehouse (Kaunas),Customers,4/30/2024,4/30/2024 10:57,,496498,RUP-55345,SO069208,[SP] UAB Linqo,Perkūnkiemio g. 6-1 12130 Vilnius,,,,,,,,,,,,,,PCS,PACK107416,,,,,,4/30/2024 10:57,,Relay 12V / Degimo blokavimo relė 12V,77,,
,[RE-SOCK/C] Socket for the relay with wires (~20cm in lenght) complies with HRA4,100,0.5152,done,,Final Production Warehouse (Kaunas),Customers,4/30/2024,4/30/2024 10:57,,496498,RUP-55345,SO069208,[SP] UAB Linqo,Perkūnkiemio g. 6-1 12130 Vilnius,,,,,,,,,,,,,,PCS,PACK107416,,,,,,4/30/2024 10:57,,Ignition Block Relay Connection socket,51.52,,
,[TRACE5-LTE-EMEA] TRACE5-LTE-EMEA,60,22.10317,done,,Final Production Warehouse (Kaunas),Customers,4/30/2024,4/30/2024 10:17,,496295,RUP-55352,SO069271,[SP] ATEXYS,"Manuel Bonniot, 46 rue du Cornonet 63800",,,,,,,,,,,,,,PCS,PACK107678,,,,,,4/30/2024 10:17,,TRACE5-LTE-EMEA,1326.19,,
